"Citation Key","First Author","Other Authors","Affiliation","Title","Year","Publisher / Journal","Volume / Issue","Pages","Extra Notes","ISBN"
"Liu ‘19","Y. Liu","M. Ott; N. Goyal; J. Du; M. Joshi; D. Chen; V. Stoyanov",,"RoBERTa: A robustly optimized bert pretraining approach","2019","arXiv","","arXiv:1907.11692","",""
"Lee ’20","J. Lee","W. Yoon; S. Kim; D. Kim; S. Kim; C. H. So; J. Kang",,"BioBERT: a pre-trained biomedical language representation model for biomedical text mining","2020","Bioinformatics","36(4)","1234-1240","",""
"Lan ‘19","Z. Lan","M. Chen; S. Goodman; K. Gimpel; P. Sharma; R. Soricut",,"Albert: A lite bert for self-supervised learning of language representations","2019","arXiv","","arXiv:1909.11942","",""
"Sanh ‘19","V. Sanh","L. Debut; J. Chaumond; T. Wolf",,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter","2019","arXiv","","arXiv:1910.01108","",""
"Lample ‘19","G. Lample","A. Conneau",,"Cross-lingual language model pretraining","2019","arXiv","","arXiv:1901.07291","",""
"Raffel ‘20","C. Raffel","N. Shazeer; A. Roberts; K. Lee; S. Narang; M. Matena; P. J. Liu",,"Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer","2020","Journal of Machine Learning Research","21","1-67","",""
"Radford ’18","A. Radford","K. Narasimhan; T. Salimans; I. Sutskever",,"Improving language understanding by generative pre-training","2018","","","","",""
"Zhu ’15","Y. Zhu","R. Kiros; R. Zemel; R. Salakhutdinov; R. Urtasun; A. Torralba; S. Fidler",,"Aligning books and movies: Towards story-like visual explanations by watching movies and reading books","2015","Proceedings of the IEEE international conference on computer vision","","pp. 19-27","",""
"Liu ’18","P. J. Liu","M. Saleh; E. Pot; B. Goodrich; R. Sepassi; L. Kaiser; N. Shazeer",,"Generating wikipedia by summarizing long sequences","2018","arXiv","","arXiv:1801.10198","",""
"Radford ’19","A. Radford","J. Wu; R. Child; D. Luan; D. Amodei; I. Sutskever",,"Language models are unsupervised multitask learners","2019","OpenAI blog","1(8)","9","",""
"Larochelle ‘08","H. Larochelle","D. Erhan; Y. Bengio",,"Zero-data learning of new tasks","2008","AAAI","Vol. 1, No. 2","p. 3","",""
"Touvron ’23","H. Touvron","T. Lavril; G. Izacard; X. Martinet; M. A. Lachaux; T. Lacroix; G. Lample",,"Llama: Open and efficient foundation language models","2023","arXiv","","arXiv:2302.13971","",""
"Hoffmann ’22","J. Hoffmann","S. Borgeaud; A. Mensch; E. Buchatskaya; T. Cai; E. Rutherford; L. Sifre",,"Training compute-optimal large language models","2022","arXiv","","arXiv:2203.15556","",""
"Gao ’20","L. Gao","S. Biderman; S. Black; L. Golding; T. Hoppe; C. Foster; C. Leahy",,"The pile: An 800gb dataset of diverse text for language modeling","2020","arXiv","","arXiv:2101.00027","",""
"Su ’24","J. Su","M. Ahmed; Y. Lu; S. Pan; W. Bo; Y. Liu",,"RoFormer: Enhanced transformer with rotary position embedding","2024","Neurocomputing","568","127063","",""
"Shazeer ’20","N. Shazeer","",,"Glu","2020","","","","",""
"Dubey ’24","A. Dubey","A. Jauhri; A. Pandey; A. Kadian; A. Al-Dahle; A. Letman; R. Ganapathy",,"The Llama 3 Herd of Models","2024","arXiv preprint","","","arXiv:2407.21783",""
"Taori ’23","R. Taori","I. Gulrajani; T. Zhang; Y. Dubois; X. Li; C. Guestrin; T. B. Hashimoto",,"Alpaca: A strong, replicable instruction-following model","2023","Stanford Center for Research on Foundation Models","3(6)","7","https://crfm.stanford.edu/2023/03/13/alpaca.html",""
"Jiang ’23","A. Q. Jiang","A. Sablayrolles; A. Mensch; C. Bamford; D. S. Chaplot; D. D. L. Casas; W. E. Sayed",,"Mistral 7B","2023","arXiv preprint","","","arXiv:2310.06825",""
"Jiang ’24","A. Q. Jiang","A. Sablayrolles; A. Roux; A. Mensch; B. Savary; C. Bamford; W. E. Sayed",,"Mixtral of experts","2024","arXiv preprint","","","arXiv:2401.04088",""
"Signal ’23","K. Signal","S. Azizi; T. Tu; S. S. Mahdavi; J. Wei; H. W. Chung; V. Natarajan",,"Large language models encode clinical knowledge","2023","Nature","620(7972)","172-180","",""
"Chang ‘08","M. W. Chang","L. A. Ratinov; D. Roth; V. Srikumar",,"Importance of Semantic Representation: Dataless Classification","2008","Aaai","Vol. 2","830-835","",""
"Child ’19","R. Child","S. Gray; A. Radford; I. Sutskever",,"Generating long sequences with sparse transformers","2019","arXiv preprint","","","arXiv:1904.10509",""
"LeCun ’89","Y. LeCun","B. Boser; J. S. Denker; D. Henderson; R. E. Howard; W. Hubbard; L. D. Jackel",,"Backpropagation applied to handwritten zip code recognition","1989","Neural computation","1(4)","541-551","",""
"Devlin ’18","J. Devlin","M. W. Chang; K. Lee; K. Toutanova",,"Bert: Pre-training of deep bidirectional transformers for language understanding","2018","arXiv preprint","","","arXiv:1810.04805",""
"Rafailov ’24","R. Rafailov","A. Sharma; E. Mitchell; C. D. Manning; S. Ermon; C. Finn",,"Direct preference optimization: Your language model is secretly a reward model","2024","Advances in Neural Information Processing Systems","36","","",""
"Shafahi ’19","A. Shafahi","M. Najibi; M. A. Ghiasi; Z. Xu; J. Dickerson; C. Studer; T. Goldstein",,"Adversarial training for free!","2019","Advances in neural information processing systems","32","","",""
"Jelinek ’77","F. Jelinek","R. L. Mercer; L. R. Bahl; J. K. Baker",,"Perplexity—a measure of the difficulty of speech recognition tasks","1977","The Journal of the Acoustical Society of America","62(S1)","S63-S63","",""
"Morris ’04","A. C. Morris","V. Maier; P. Green",,"From WER and RIL to MER and WIL: improved evaluation measures for connected speech recognition","2004","In Eighth International Conference on Spoken Language Processing","","","",""
"Lin ’04","C. Y. Lin","",,"Rouge: A package for automatic evaluation of summaries","2004","In Text summarization branches out","","74-81","",""
"Banerjee ’05","S. Banerjee","A. Lavie",,"METEOR: An automatic metric for MT evaluation with improved correlation with human judgments","2005","In Proceedings of the acl workshop on intrinsic and extrinsic evaluation measures for machine translation and/or summarization","","65-72","",""
"Papineni ’02","K. Papineni","S. Roukos; T. Ward; W. J. Zhu",,"BLEU: a method for automatic evaluation of machine translation","2002","In Proceedings of the 40th annual meeting of the Association for Computational Linguistics","","311-318","",""
"Wu ’16","Y. Wu","M. Schuster; Z. Chen; Q. V. Le; M. Norouzi; W. Macherey; J. Dean",,"Google's neural machine translation system: Bridging the gap between human and machine translation","2016","arXiv preprint","","","arXiv:1609.08144",""
"Napoles ’15","C. Napoles","K. Sakaguchi; M. Post; J. Tetreault",,"Ground truth for grammatical error correction metrics","2015","In Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 2: Short Papers)","","588-593","",""
"Sellam ’20","T. Sellam","D. Das; A. P. Parikh",,"BLEURT: Learning robust metrics for text generation","2020","arXiv preprint","","","arXiv:2004.04696",""
"Srivastava ’22","A. Srivastava","A. Rastogi; A. Rao; A. A. M. Shoeb; A. Abid; A. Fisch; G. Wang",,"Beyond the imitation game: Quantifying and extrapolating the capabilities of language models","2022","arXiv preprint","","","arXiv:2206.04615",""
"Zellers ’19","R. Zellers","A. Holtzman; Y. Bisk; A. Farhadi; Y. Choi",,"Hellaswag: Can a machine really finish your sentence?","2019","arXiv preprint","","","arXiv:1905.07830",""
"Hendrycks ’20","D. Hendrycks","C. Burns; S. Basart; A. Zou; M. Mazeika; D. Song; J. Steinhardt",,"Measuring massive multitask language understanding","2020","arXiv preprint","","","arXiv:2009.03300",""
"Simonyan ’14","K. Simonyan","A. Zisserman",,"Very deep convolutional networks for large-scale image recognition","2014","arXiv preprint","","","arXiv:1409.1556",""
"Hubel ’59","D. H. Hubel","T. N. Wiesel",,"Receptive fields of single neurones in the cat's striate cortex","1959","The Journal of physiology","148(3)","574-591","",""
"Szegedy ’15","C. Szegedy","W. Liu; Y. Jia; P. Sermanet; S. Reed; D. Anguelov; A. Rabinovich",,"Going deeper with convolutions","2015","In Proceedings of the IEEE conference on computer vision and pattern recognition","","1-9","",""
"Zhang ’22","A. Zhang","Z. C. Lipton; M. Li; A. J. Smola",,"Dive into deep learning","2022","","","","https://d2l.ai",""
"He ’16","K. He","X. Zhang; S. Ren; J. Sun",,"Deep residual learning for image recognition","2016","In Proceedings of the IEEE conference on computer vision and pattern recognition","","770-778","",""
"Loffe ’15","S. Loffe","C. Szegedy",,"Batch normalization: Accelerating deep network training by reducing internal covariate shift","2015","In International conference on machine learning","","448-456","ICML",""
"Ulyanov ’17","D. Ulyanov","A. Vedaldi; V. Lempitsky",,"Instance normalization: The missing ingredient for fast stylization","2017","arXiv preprint","","","arXiv:1607.08022",""
"Ba ’16","J. L. Ba","J. R. Kiros; G. E. Hinton",,"Layer normalization","2016","arXiv preprint","","","arXiv:1607.06450",""
"Wu ’18","Y. Wu","K. He",,"Group normalization","2018","In Proceedings of the European conference on computer vision (ECCV)","","3-19","",""
"Li ’17","H. Li","Z. Xu; G. Taylor; C. Studer; T. Goldstein",,"Visualizing the loss landscape of neural nets","2017","arXiv preprint","","","arXiv:1712.09913",""
"Szegedy ’17","C. Szegedy","S. Ioffe; V. Vanhoucke; A. A. Alemi",,"Inception-v4, inception-resnet, and the impact of residual connections on learning","2017","In the Thirty-first AAAI conference on artificial intelligence","","","",""
"Dosovitskiy ’20","A. Dosovitskiy","L. Beyer; A. Kolesnikov; D. Weissenborn; X. Zhai; T. Unterthiner; N. Houlsby",,"An image is worth 16x16 words: Transformers for image recognition at scale","2020","arXiv preprint","","","arXiv:2010.11929",""
"Girshick ’15","R. Girshick","J. Donahue; T. Darrell; J. Malik",,"Rich feature hierarchies for accurate object detection and semantic segmentation","2015","In Proceedings of the IEEE conference on computer vision and pattern recognition","","580-587","",""
"Uijlings ’13","J. R. Uijlings","K. E. Van De Sande; T. Gevers; A. W. Smeulders",,"Selective search for object recognition","2013","International journal of computer vision","104(2)","154-171","",""
"Ren ’16","S. Ren","K. He; R. Girshick; J. Sun",,"Faster R-CNN: Towards real-time object detection with region proposal networks","2016","Advances in neural information processing systems","28","91-99","",""
"Liu ’16","W. Liu","D. Anguelov; D. Erhan; C. Szegedy; S. Reed; C. Y. Fu; A. C. Berg",,"SSD: Single shot multibox detector","2016","In European conference on computer vision","","21-37","Springer, Cham",""
"Redmon ’16","J. Redmon","S. Divvala; R. Girshick; A. Farhadi",,"You only look once: Unified, real-time object detection","2016","In Proceedings of the IEEE conference on computer vision and pattern recognition","","779-788","",""
"Redmon ’17","J. Redmon","A. Farhadi",,"YOLO9000: better, faster, stronger","2017","In Proceedings of the IEEE conference on computer vision and pattern recognition","","7263-7271","",""
"Redmon ’18","J. Redmon","A. Farhadi",,"YOLO v3: An incremental improvement","2018","arXiv preprint","","","arXiv:1804.02767",""
"Ge ’21","Z. Ge","S. Liu; F. Wang; Z. Li; J. Sun",,"YoloX: Exceeding yolo series in 2021","2021","arXiv preprint","","","arXiv:2107.08430",""
"Bochkovskiy ’20","A. Bochkovskiy","C. Y. Wang; H. Y. M. Liao",,"Yolov4: Optimal speed and accuracy of object detection","2020","arXiv preprint","","","arXiv:2004.10934",""
"Luo ’16","W. Luo","Y. Li; R. Urtasun; R. Zemel",,"Understanding the effective receptive field in deep convolutional neural networks","2016","In Proceedings of the 30th International Conference on Neural Information Processing Systems","","4905-4913","",""
"Long ’15","J. Long","E. Shelhamer; T. Darrell",,"Fully convolutional networks for semantic segmentation","2015","In Proceedings of the IEEE conference on computer vision and pattern recognition","","3431-3440","",""
"He ’17","K. He","G. Gkioxari; P. Dollár; R. Girshick",,"Mask R-CNN","2017","In Proceedings of the IEEE international conference on computer vision","","2961-2969","",""
"Jaderberg ’15","M. Jaderberg","K. Simonyan; A. Zisserman",,"Spatial transformer networks","2015","Advances in neural information processing systems","28","2017-2025","",""
"Chen ’14","L. C. Chen","G. Papandreou; I. Kokkinos; K. Murphy; A. L. Yuille",,"Semantic image segmentation with deep convolutional nets and fully connected crfs","2014","arXiv preprint","","","arXiv:1412.7062",""
"Chen ’17 A","L. C. Chen","G. Papandreou; I. Kokkinos; K. Murphy; A. L. Yuille",,"DeepLab: Semantic image segmentation with deep convolutional nets, atrous convolution, and fully connected crfs","2017","IEEE transactions on pattern analysis and machine intelligence","40(4)","834-848","",""
"Chen ’17 B","L. C. Chen","G. Papandreou; F. Schroff; H. Adam",,"Rethinking Atrous convolution for semantic image segmentation","2017","arXiv preprint","","","arXiv:1706.05587",""
"Chen ’18","L. C. Chen","Y. Zhu; G. Papandreou; F. Schroff; H. Adam",,"Encoder-decoder with atrous separable convolution for semantic image segmentation","2018","In Proceedings of the European conference on computer vision (ECCV)","","801-818","",""
"Chollet ’17","F. Chollet","",,"Xception: Deep learning with depthwise separable convolutions","2017","In Proceedings of the IEEE conference on computer vision and pattern recognition","","1251-1258","",""
"Kirillov ’23","A. Kirillov","E. Mintun; N. Ravi; H. Mao; C. Rolland; L. Gustafson; R. Girshick",,"Segment Anything","2023","In Proceedings of the IEEE/CVF International Conference on Computer Vision","","4015-4026","",""
"Ravi ’24","N. Ravi","V. Gabeur; Y. T. Hu; R. Hu; C. Ryali; T. Ma; C. Feichtenhofer",,"SAM 2: Segment Anything in Images and Videos","2024","arXiv preprint","","","arXiv:2408.00714",""
"He ’22","K. He","X. Chen; S. Xie; Y. Li; P. Dollár; R. Girshick",,"Masked autoencoders are scalable vision learners","2022","In Proceedings of the IEEE/CVF conference on computer vision and pattern recognition","","16000-16009","",""
"Mildenhall ‘21","B. Mildenhall","P. P. Srinivasan; M. Tancik; J. T. Barron; R. Ramamoorthi; R. Ng",,"NeRF: Representing scenes as neural radiance fields for view synthesis","2021","Communications of the ACM","65(1)","99-106","",""
"Kerbl ’23","B. Kerbl","G. Kopanas; T. Leimkühler; G. Drettakis",,"3D Gaussian splatting for real-time radiance field rendering","2023","ACM Transactions on Graphics","42(4)","1-14","",""
"Snavely ’06","N. Snavely","S. M. Seitz; R. Szeliski",,"Photo tourism: exploring photo collections in 3D","2006","In ACM siggraph 2006 papers","","835-846","",""
"Merrill ’10","D. G. Merrill","A. S. Grimshaw",,"Revisiting sorting for GPGPU stream architectures","2010","In Proceedings of the 19th International Conference on Parallel Architectures and Compilation Techniques","","545-546","",""
"Kling ’21","M. U. Kling","",,"Quality Land","2021","Éditions Actes Sud","","","",""
"Masi ’18","I. Masi","Y. Wu; T. Hassner; P. Natarajan",,"Deep face recognition: A survey","2018","In 2018 31st IEEE SIBGRAPI conference on graphics, patterns and images (SIBGRAPI)","","471-478","",""
"Taigman ’14","Y. Taigman","M. Yang; M. A. Ranzato; L. Wolf",,"Deepface: Closing the gap to human-level performance in face verification","2014","In Proceedings of the IEEE conference on computer vision and pattern recognition","","1701-1708","",""
"Sun ’14","Y. Sun","X. Wang; X. Tang",,"Deep learning face representation from predicting 10,000 classes","2014","In Proceedings of the IEEE conference on computer vision and pattern recognition","","1891-1898","",""
"Sun ’15","Y. Sun","X. Wang; X. Tang",,"Deeply learned face representations are sparse, selective, and robust","2015","In Proceedings of the IEEE conference on computer vision and pattern recognition","","2892-2900","",""
"Ledig ’17","C. Ledig","L. Theis; F. Huszár; J. Caballero; A. Cunningham; A. Acosta; W. Shi",,"Photorealistic single image super-resolution using a generative adversarial network","2017","Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition (CVPR)","","4681-4690","",""
"Waang ’18","X. Wang","K. Yu; S. Wu; J. Gu; Y. Liu; C. Dong; C. Change Loy",,"ESRGAN: Enhanced super-resolution generative adversarial networks","2018","Proceedings of the European Conference on Computer Vision (ECCV), Workshops","","","",""
"Sajjadi ’17","M. S. M. Sajjadi","B. Schölkopf; M. Hirsch",,"EnhanceNet: Single image super-resolution through automated texture synthesis","2017","Proceedings of the IEEE International Conference on Computer Vision (ICCV)","","4501-4510","",""
"Kendall '15","A. Kendall","M. Grimes; R. Cipolla",,"PoseNet: A Convolutional Network for Real-Time 6DOF Camera Relocalization","2015","Proceedings of the IEEE International Conference on Computer Vision (ICCV)","","","",""
"Cao ’17","Z. Cao","T. Simon; S. E. Wei; Y. Sheikh",,"Realtime Multi-Person 2D Pose Estimation using Part Affinity Fields","2017","Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition","","","",""
"Fang ’17","H. S. Fang","S. Xie; Y. W. Tai; C. Lu",,"RMPE: Regional Multi-Person Pose Estimation","2017","Proceedings of the IEEE International Conference on Computer Vision (ICCV)","","2334-2343","",""
"Alhashim ’18","I. Alhashim","P. Wonka",,"High Quality Monocular Depth Estimation via Transfer Learning","2018","arXiv preprint arXiv:1812.11941","","","",""
"Laina ’16","I. Laina","C. Rupprecht; V. Belagiannis; F. Tombari; N. Navab",,"Deeper Depth Prediction with Fully Convolutional Residual Networks","2016","Proceedings of the 4th International Conference on 3D Vision (3DV)","","239-248","",""
"Zhu ‘23","Y. Zhu","J. Baca; B. Rekabdar; R. Rawassizadeh",,"A Survey of AI Music Generation Tools and Models","2023","arXiv preprint arXiv:2308.12982","","","",""
"Arik ’18","S. O. Arik","M. Chrzanowski; A. Coates; G. Duan; A. Gibson",,"Deep Voice: Real-time Neural Text-to-Speech","2018","Proceedings of the 34th International Conference on Machine Learning (ICML)","","195-204","",""
"Oord ’16","A. V. D. Oord","S. Dieleman; H. Zen; K. Simonyan; O. Vinyals; A. Graves; K. Kavukcuoglu",,"Wavenet: A generative model for raw audio","2016","arXiv preprint arXiv:1609.03499","","","",""
"Oord ’18","A. Oord","Y. Li; I. Babuschkin; K. Simonyan; O. Vinyals; K. Kavukcuoglu; D. Hassabis",,"Parallel wavenet: Fast high-fidelity speech synthesis","2018","In International conference on machine learning","","3918-3926","",""
"Srivastava ’15","R. K. Srivastava","K. Greff; J. Schmidhuber",,"Training very deep networks","2015","Advances in neural information processing systems","28","","",""
"Shen ’18","J. Shen","R. Pang; R. J. Weiss; M. Schuster; N. Jaitly; Z. Yang; Y. Wu",,"Natural TTS synthesis by conditioning wavenet on mel spectrogram predictions","2018","In 2018 IEEE international conference on acoustics, speech and signal processing (ICASSP)","","4779-4783","",""
"Chorowski ’15","J. K. Chorowski","D. Bahdanau; D. Serdyuk; K. Cho; Y. Bengio",,"Attention-based models for speech recognition","2015","Advances in Neural Information Processing Systems","28","","",""
"Schneider ’19","S. Schneider","A. Baevski; R. Collobert; M. Auli",,"wav2vec: Unsupervised pre-training for speech recognition","2019","arXiv preprint arXiv:1904.05862","","","",""
"Baevski ’20","A. Baevski","Y. Zhou; A. Mohamed; M. Auli",,"wav2vec 2.0: A framework for self-supervised learning of speech representations","2020","Advances in neural information processing systems","33","12449-12460","",""
"Radford ’23","A. Radford","J. W. Kim; T. Xu; G. Brockman; C. McLeavey; I. Sutskever",,"Robust speech recognition via large-scale weak supervision","2023","In International Conference on Machine Learning","","28492-28518","",""
"Skinner ’65","B. F. Skinner","",,"Science and human behavior","1965","Simon and Schuster","","No. 92904","",""
"Sutton ’20","R. S. Sutton","A. G. Barto",,"Reinforcement learning: An introduction","2020","MIT press","","","",""
"Silver ’17","D. Silver","J. Schrittwieser; K. Simonyan; I. Antonoglou; A. Huang; A. Guez; D. Hassabis",,"Mastering the game of go without human knowledge","2017","nature","550(7676)","354-359","",""
"Ouyang ’22","L. Ouyang","J. Wu; X. Jiang; D. Almeida; C. L. Wainwright; P. Mishkin; R. Lowe",,"Training language models to follow instructions with human feedback","2022","arXiv preprint arXiv:2203.02155","","","",""
"Thompson ’33","W. R. Thompson","",,"On the likelihood that one unknown probability exceeds another in view of the evidence of two samples","1933","Biometrika","25(3-4)","285-294","",""
"Winder ’20","P. Winder","",,"Reinforcement learning","2020","O'Reilly Media","","","",""
"Sutton ’98","Richard S.","",,"Learning to predict by the methods of temporal differences","1988","Machine Learning","3(1)","9–44","",""
"Watkins ’89","C. J. C. H. Watkins","",,"Learning from Delayed Rewards","1989","Ph.D. thesis, University of Cambridge","","","",""
"Sutton ’91","R. S. Sutton","",,"Dyna, an integrated architecture for learning, planning, and reacting","1991","ACM Sigart Bulletin","2(4)","160-163","",""
"Peng ’94","J. Peng","R. J. Williams",,"Incremental multi-step Q-learning","1994","In Machine Learning Proceedings 1994","","226-232","Morgan Kaufmann",""
"Morales ’20","M. Morales","",,"Grokking deep reinforcement learning","2020","Manning Publications","","","",""
"Mnih ’13","V. Mnih","K. Kavukcuoglu; D. Silver; A. Graves; I. Antonoglou; D. Wierstra; M. Riedmiller",,"Playing atari with deep reinforcement learning","2013","arXiv preprint arXiv:1312.5602","","","",""
"Mnih ’15","V. Mnih","K. Kavukcuoglu; D. Silver; A. A. Rusu; J. Veness; M. G. Bellemare; D. Hassabis",,"Human-level control through deep reinforcement learning","2015","nature","518(7540)","529-533","",""
"Riedmiller ’05","M. Riedmiller","",,"Neural fitted Q iteration–first experiences with a data efficient neural reinforcement learning method","2005","In European conference on machine learning","","317-328","Springer, Berlin, Heidelberg",""
"Lin ’92","L. J. Lin","",,"Self-improving reactive agents based on reinforcement learning, planning and teaching","1992","Machine learning","8(3)","293-321","",""
"Van Hasselt ’16","H. Van Hasselt","A. Guez; D. Silver",,"Deep reinforcement learning with double q-learning","2016","In Proceedings of the AAAI conference on artificial intelligence","30(1)","","",""
"Van Hasselt ’10","H. Van Hasselt","",,"Double Q-learning","2010","Advances in Neural Information Processing Systems","23","","",""
"Schaul ’16","T. Schaul","J. Quan; I. Antonoglou; D. Silver",,"Prioritized experience replay","2015","arXiv preprint arXiv:1511.05952","","","",""
"Williams ’92","R. J. Williams","",,"Simple statistical gradient-following algorithms for connectionist reinforcement learning","1992","Machine learning","8(3)","229-256","",""
"Schulman ’15","J. Schulman","S. Levine; P. Abbeel; M. Jordan; P. Moritz",,"Trust region policy optimization","2015","In International conference on machine learning","","1889-1897","PMLR",""
"Amari ’98","S. I. Amari","",,"Natural gradient works efficiently in learning","1998","Neural computation","10(2)","251-276","",""
"Stiefel ’52","E. Stiefel","",,"Methods of conjugate gradients for solving linear systems","1952","Journal of Research of the National Bureau of Standards","49","409-435","",""
"Chen ’16","T. Chen","B. Xu; C. Zhang; C. Guestrin",,"Training deep nets with Sublinear Memory cost","2016","arXiv preprint arXiv:1604.0617","","","",""
"Schulman ’17","J. Schulman","F. Wolski; P. Dhariwal; A. Radford; O. Klimov",,"Proximal policy optimization algorithms","2017","arXiv preprint arXiv:1707.06347","","","",""
"Mnih ’16","V. Mnih","A. P. Badia; M. Mirza; A. Graves; T. Lillicrap; T. Harley; K. Kavukcuoglu",,"Asynchronous Methods for Deep Reinforcement Learning","2016","In International Conference on Machine Learning","","1928-1937","PMLR",""
"Lillicrap ’15","T. P. Lillicrap","J. J. Hunt; A. Pritzel; N. Heess; T. Erez; Y. Tassa; D. Wierstra",,"Continuous control with deep reinforcement learning","2015","arXiv preprint arXiv:1509.02971","","","",""
"Uhlenbeck ‘30","G. E. Uhlenbeck","L. S. Ornstein",,"On the theory of the brownian motion","1930","Physical review","36(5)","823","",""
"Fujimoto ’18","S. Fujimoto","H. Hoof; D. Meger",,"Addressing function approximation error in actor-critic methods","2018","In International Conference on Machine Learning","","1587-1596","PMLR",""
"Haarnoja ’18","T. Haarnoja","A. Zhou; P. Abbeel; S. Levine",,"Soft Actor-Critic: Off-policy maximum entropy deep reinforcement learning with a stochastic actor","2018","In International conference on machine learning","","1861-1870","PMLR",""
"Bengio ’13","Y. Bengio","N. Léonard; A. Courville",,"Estimating or propagating gradients through stochastic neurons for conditional computation","2013","arXiv preprint arXiv:1308.3432","","","",""
"Team ’24","O. M. Team","D. Ghosh; H. Walke; K. Pertsch; K. Black; O. Mees; S. Levine",,"Octo: An Open-Source Generalist Robot Policy","2024","arXiv preprint arXiv:2405.12213","","","",""
"Hafner ’19","D. Hafner","T. Lillicrap; J. Ba; M. Norouzi",,"Dream to control: Learning behaviors by latent imagination","2019","arXiv preprint arXiv:1912.01603","","","",""
"Hafner ’20","D. Hafner","T. Lillicrap; M. Norouzi; J. Ba",,"Mastering atari with discrete world models","2020","arXiv preprint arXiv:2010.02193","","","",""
"Hafner ’23","D. Hafner","J. Pasukonis; J. Ba; T. Lillicrap",,"Mastering Diverse Domains through World Models","2023","arXiv preprint arXiv:2301.04104","","","",""
"Ziyin ’20","L. Ziyin","Z. T. Wang; M. Ueda",,"LaProp: Separating momentum and adaptivity in adam","2020","arXiv preprint arXiv:2002.04839","","","",""
"Sedgewick ’11","R. Sedgewick","K. Wayne",,"Algorithms, 4th Edition","2011","Addison-Wesley Professional","","","",""
"Coremen ’22","T. H. Cormen","C. E. Leiserson; R. L. Rivest; C. Stein",,"Introduction to algorithms, 4th Edition","2009","MIT press","","","",""
"Ziv ’78","J. Ziv","A. Lempel",,"Compression of Individual Sequences via Variable-Rate Coding","1978","IEEE transactions on Information Theory","24(5)","530-536","",""
"Welch ‘84","T. A. Welch","",,"Technique for high-performance data compression","1984","Computer","(52)","","",""
"Rawassizadeh ’23","R. Rawassizadeh","Y. Rong",,"ODSearch: Fast and Resource Efficient On-device Natural Language Search for Fitness Trackers' Data","2023","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies","6(4)","1-25","",""
"Malekijoo ’21","A. Malekijoo","M. J. Fadaeieslam; H. Malekijou; M. Homayounfar; F. Alizadeh-Shabdiz; R. Rawassizadeh",,"Fedzip: A compression framework for communication-efficient federated learning","2021","arXiv preprint arXiv:2102.01593","","","",""
"Gage ’94","P. Gage","",,"A new algorithm for data compression","1994","The C Users Journal","12(2)","23-38","",""
"Huffman ’52","D. A. Huffman","",,"A method for the construction of minimum-redundancy codes","1952","Proceedings of the IRE","40(9)","1098-1101","",""
"Linde ’80","Y. Linde","A. Buzo; R. Gray",,"An algorithm for vector quantizer design","1980","IEEE Transactions on communications","28(1)","84-95","",""
"Horowitz '14","M. Horowitz","",,"1.1 Computing's Energy Problem (and what we can do about it)","2014","In 2014 IEEE International Solid-State Circuits Conference Digest of Technical Papers (ISSCC)","","10-14","IEEE",""
"Krishnamoorthi '18","R. Krishnamoorthi","",,"Quantizing deep convolutional networks for efficient inference: A whitepaper","2018","arXiv preprint arXiv:1806.08342","","","",""
"Jacob ’18","B. Jacob","S. Kligys; B. Chen; M. Zhu; M. Tang; A. Howard; D. Kalenichenko",,"Quantization and training of neural networks for efficient integer-arithmetic-only inference","2018","In Proceedings of the IEEE conference on computer vision and pattern recognition","","2704-2713","",""
"Courbariaux ’15","M. Courbariaux","Y. Bengio; J. P. David",,"Binaryconnect: Training deep neural networks with binary weights during propagations","2015","Advances in neural information processing systems","28","","",""
"Li ’16","F. Li","B. Zhang; B. Liu",,"Ternary weight networks","2016","arXiv preprint arXiv:1605.04711","","","",""
"Wang ’23","H. Wang","S. Ma; L. Dong; S. Huang; H. Wang; L. Ma; F. Wei",,"Bitnet: Scaling 1-bit transformers for large language models","2023","arXiv preprint arXiv:2310.11453","","","",""
"Alizadeh ’20","M. Alizadeh","A. Behboodi; M. van Baalen; C. Louizos; T. Blankevoort; M. Welling",,"Gradient $_1 $ regularization for quantization robustness","2020","arXiv preprint arXiv:2002.07520","","","",""
"Hassibi ’93","B. Hassibi","D. G. Stork; G. J. Wolff",,"Optimal brain surgeon and general network pruning","1993","In IEEE international conference on neural networks","","293-299","",""
"Reed ’93","R. Reed","",,"Pruning algorithms-a survey","1993","IEEE transactions on Neural Networks","4(5)","740-747","",""
"Hoefler ’21","T. Hoefler","D. Alistarh; T. Ben-Nun; N. Dryden; A. Peste",,"Sparsity in deep learning: Pruning and growth for efficient inference and training in neural networks","2021","The Journal of Machine Learning Research","22(1)","10882-11005","",""
"Molchanov ’16","P. Molchanov","S. Tyree; T. Karras; T. Aila; J. Kautz",,"Pruning convolutional neural networks for resource efficient inference","2016","arXiv preprint arXiv:1611.06440","","","",""
